year,team,coach,sport,Jersey,Player,Yr,Pos,GP,GS,Games,Goals,Assists,Points,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,GAA,Saves,SV Pct,Shutouts,Combined Sho,G Wins,G Loss,DSaves,Corners,PK,PK Att,GWG
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,11,"Brockbank, Sadie",Jr,F,19,,,2,1.00,5.00,39,23,,2,,,,,0,,,,,,,,,,,,
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,11,"Brockbank, Sadie",Jr,F,19,,,2,1.00,5.00,39,23,,2,,,,,0,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,19,"Rodriguez, Melanie",Fr,D,15,,,,,0.00,4,3,,1,,,,,,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,19,"Rodriguez, Melanie",Fr,D,15,,,,,0.00,4,3,,1,,,,,,,,,,,,,,,,,
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,7,"Malancone, Niki",Sr,F,16,,,,1.00,1.00,7,2,,1,,,,,0,,,,,,,,,,,,
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,7,"Malancone, Niki",Sr,F,16,,,,1.00,1.00,7,2,,1,,,,,0,,,,,,,,,,,,
2019-20,Valparaiso Crusaders,John Marovich,Women's Soccer,17,"Slaga, Kerry",Fr,,6,,,,,0.00,4,2,,,,,,,0,,,,,,,,,,,,
2019-20,Valparaiso Crusaders,John Marovich,Women's Soccer,17,"Slaga, Kerry",Fr,,6,,,,,0.00,4,2,,,,,,,0,,,,,,,,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,14,"Boyle, Marin",So,M,13,,13,1,,2.00,3,,,,,,,,,,,,,,,,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,14,"Boyle, Marin",So,M,13,,13,1,,2.00,3,,,,,,,,,,,,,,,,,,,,
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,11,"Barlow, Sidney",Fr,,19,,,3,,6.00,32,11,,,,,,,,,,,,,,,,,,,
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,11,"Barlow, Sidney",Fr,,19,,,3,,6.00,32,11,,,,,,,,,,,,,,,,,,,
